frame,image_path,steer,throttle,brake
30492,rgb/030492.jpg,0.00011,0.29459,0.0
21940,rgb/021940.jpg,0.18269,0.21178,0.0
30267,rgb/030267.jpg,0.28481,0.23138,0.0
32673,rgb/032673.jpg,-0.05095,0.34119,0.0
8114,rgb/008114.jpg,0.04499,0.36864,0.0
2402,rgb/002402.jpg,-0.11557,0.0979,0.0
25933,rgb/025933.jpg,0.04637,0.37646,0.0
34342,rgb/034342.jpg,-0.0,0.29413,0.0
44252,rgb/044252.jpg,0.18105,0.27452,0.0
8502,rgb/008502.jpg,-0.13145,0.33334,0.0
7065,rgb/007065.jpg,0.12075,0.14119,0.0
18004,rgb/018004.jpg,0.08053,0.38824,0.0
7980,rgb/007980.jpg,0.0,0.36472,0.0
32596,rgb/032596.jpg,-0.09243,0.34119,0.0
21950,rgb/021950.jpg,0.15116,0.21178,0.0
15215,rgb/015215.jpg,-0.04339,0.35675,0.0
36639,rgb/036639.jpg,0.07723,0.33727,0.0
28223,rgb/028223.jpg,0.0,0.35295,0.0
42014,rgb/042014.jpg,0.1375,0.13358,0.0
28334,rgb/028334.jpg,0.11697,0.15873,0.0
43292,rgb/043292.jpg,0.02717,0.22354,0.0
15646,rgb/015646.jpg,-0.23731,0.34119,0.0
40339,rgb/040339.jpg,0.26973,0.29021,0.0
12754,rgb/012754.jpg,0.0,0.38824,0.0
5354,rgb/005354.jpg,0.1244,0.32138,0.0
30257,rgb/030257.jpg,0.26297,0.23138,0.0
30242,rgb/030242.jpg,0.167,0.23138,0.0
17967,rgb/017967.jpg,0.1221,0.38824,0.0
43301,rgb/043301.jpg,-0.08798,0.22354,0.0
15632,rgb/015632.jpg,-0.25206,0.34119,0.0
37551,rgb/037551.jpg,-0.21533,0.09021,0.0
25412,rgb/025412.jpg,0.08017,0.14119,0.0
31301,rgb/031301.jpg,-0.10557,0.37648,0.0
43528,rgb/043528.jpg,-0.19933,0.22354,0.0
39770,rgb/039770.jpg,-0.13731,0.31371,0.0
14034,rgb/014034.jpg,-0.07075,0.38824,0.0
41807,rgb/041807.jpg,-1e-05,0.44315,0.0
9093,rgb/009093.jpg,-0.10718,0.33727,0.0
31328,rgb/031328.jpg,-0.08982,0.15833,0.0
35726,rgb/035726.jpg,0.14721,0.31304,0.0
16205,rgb/016205.jpg,0.0638,0.37648,0.0
14005,rgb/014005.jpg,-0.08291,0.38821,0.0
